serial,B1,I1,N1,G1,O1,B2,I2,N2,G2,O2,B3,I3,N3,G3,O3,B4,I4,N4,G4,O4,B5,I5,N5,G5,O5,firma
0001,4,27,36,48,74,12,17,35,52,67,5,20,LIBRE,57,69,7,30,43,60,73,3,23,31,54,71,c0363d744c0ec054a0ff379f6617b930ddd8ba1eab941c957ddfb81e7a980001
0002,7,21,37,56,68,11,27,40,50,65,13,17,LIBRE,52,63,15,23,38,55,73,2,22,39,49,71,454d7e9cc1b9accf237033821d15e8eda55a9c95ae91660d8a4da6ffc37cf0df
0003,10,18,38,59,71,3,19,44,51,67,12,27,LIBRE,54,61,2,30,42,56,70,6,25,43,57,63,641f84095562d2b563f68b9628decc7f190cee2bfa357a33f0c7860498294938
0004,12,19,45,56,74,6,20,40,55,61,11,23,LIBRE,52,68,7,27,36,50,72,13,30,37,49,67,12754cd7967461133e505360329a4b4cbd427f72b731febfad26a3ae4a853b9d
0005,12,19,43,46,74,7,30,33,55,68,2,29,LIBRE,56,63,4,24,37,59,61,10,22,41,54,64,0135f29e8ecbb1b4638c460927057bf74485afa610100d4b293e9846d58977c0
0006,10,29,42,52,61,8,20,41,49,69,14,30,LIBRE,50,63,9,27,33,55,68,7,19,43,51,75,65177f2c93e7a7699161eb3a24e8d6dd4b7c60bdfbe8d7f9ebc228f6f33ae486
0007,14,17,33,53,69,5,29,32,57,68,12,30,LIBRE,60,71,3,25,31,58,73,6,23,44,56,61,424ed0d21bea45faba5a95a0669743f0ba56377b20d3073bb6139049864a7a48
0008,4,23,43,56,65,14,20,40,57,62,7,22,LIBRE,58,74,9,29,36,55,73,8,17,41,50,64,e8e5e14dd0aea6dca37e7260fa205c792c659c99bd574ce13fa04e420994c182
0009,5,22,32,56,61,9,17,42,52,64,13,26,LIBRE,54,65,8,30,39,48,74,4,28,31,59,67,72b8923e729702cbbcab48f351fb32d184e8957da17d583f05ac50d2dad3f74e
0010,12,18,31,57,65,5,16,35,47,75,7,22,LIBRE,51,68,4,29,34,52,66,6,19,32,59,63,2fbbb614f0909b15e90e462cddeafb2aaac0e4931daf0cb44390ab60e9cfa4a7
0011,9,22,35,50,73,14,25,33,48,70,10,19,LIBRE,58,67,5,18,36,53,61,6,21,39,59,71,00f44d865cf63126740d9335da8926ca249c2371a4d897f5485e789478e21e7a
0012,3,26,41,55,65,4,23,45,59,70,14,28,LIBRE,57,63,10,20,34,46,75,5,27,43,54,64,43881abd3a6ecc45a80c277285478d31fde86c65cc21969cfe68d4b1b96633a0
0013,2,26,40,51,67,12,25,37,46,68,8,30,LIBRE,48,63,6,19,41,60,75,15,20,34,49,73,609abed18f0b4a1c5e2383b96325ff9feb13923a6e031a9cc752fe99246179c2
0014,6,18,32,50,74,9,28,36,47,65,7,17,LIBRE,48,64,13,25,43,46,71,11,24,38,60,75,cd1fe91efa3b82ffba2ea96bf82e313d3938acbbeda8f0d1eb8610841e0fc034
0015,8,21,36,52,63,2,24,32,58,73,10,23,LIBRE,50,67,3,29,43,55,74,7,25,42,60,72,dedfdc58e9bea180a4554b15ce26648d8fb49f037d6eafac7ce29c8bc603a364
0016,2,24,39,47,68,3,19,44,49,70,5,30,LIBRE,54,69,14,20,42,58,74,9,29,45,48,67,790e62ea9accca71249377a5c5b15313de389a7bdd46ced672a26233f4c4d3fd
0017,1,29,44,49,66,2,22,43,60,74,11,25,LIBRE,53,72,7,16,45,46,73,10,28,35,50,63,77f4256653acc41c01be03a9a93a2fe4e35418e0bc6bf6259b1b7b8f481c8d28
0018,4,20,32,48,63,12,21,45,52,70,13,22,LIBRE,49,74,7,27,39,57,72,1,18,42,50,73,96228b45adef59ddd035d9f46fb6c6c68b358e6d52710d105d37d6d518564ad0
0019,3,29,31,59,65,4,24,45,50,75,8,18,LIBRE,58,64,6,17,36,60,69,1,28,39,55,68,fd9cb605b1113857cf5a10d65ed6ec5977819550b8e8a4cf72f1e1375720dbd4
0020,7,28,32,52,61,12,16,42,51,62,3,29,LIBRE,53,75,8,24,34,47,72,10,23,39,50,73,9f9cbe164676969b34be0edb9d6d6ecf5bc2c5606db2895523fd2d1833279a6b
0021,5,18,42,46,65,14,25,39,48,61,13,29,LIBRE,55,64,6,24,34,56,74,10,23,41,50,69,2d764e3473c0a0a0f49078e0a22b420a2d7f038a3ee140ac744bec56d1a87252
0022,13,29,45,58,62,1,30,34,54,65,7,22,LIBRE,53,71,15,25,35,57,74,12,21,31,50,69,c2d1e7f923aa58f462158d67e6efbd430ed1044e7ff350af59e9eb1a888bc22b
0023,15,28,42,59,68,10,19,41,48,64,11,29,LIBRE,50,65,7,25,39,55,74,4,18,32,47,69,dab8553a4590fabd99809446071382b5166c5d6319f0500be676a5621b069f5d
0024,6,30,44,58,68,11,16,43,48,64,13,17,LIBRE,51,62,15,28,37,49,61,10,26,40,54,63,24894ff78c20a0a9b1a9eee872e24d651a42daf24a7c3c1f3051aced35de4226
0025,14,24,37,51,75,3,21,32,59,69,4,22,LIBRE,58,62,10,30,33,57,70,1,29,40,55,63,99eaee6b318f3e6c5aead318c204bf1e7acf46f6384a806142e839cddbc040ad
0026,9,20,45,60,69,7,18,32,46,66,14,30,LIBRE,55,65,3,27,33,47,63,12,25,35,49,61,bb61002b19dbb312fc23a9f6c1444b50907c84c1dc6fa6b82ac7fca1b79782bc
0027,6,25,41,51,66,14,27,36,57,70,15,17,LIBRE,52,72,2,26,43,46,64,9,30,38,56,73,1a2c91315a865b3cde5337a241a4c64e3f669611b43211a0cb8a4652c82e347f
0028,2,20,45,50,74,14,22,44,48,67,11,26,LIBRE,57,65,1,19,41,46,75,4,23,33,47,63,0c782d231a69acb61128d752dc471b6ef849e7cd082409e1535eba56b5332f7e
0029,8,25,34,55,69,13,28,31,59,70,4,24,LIBRE,60,72,9,16,39,53,67,6,27,42,54,74,93ccc2e7ffb96ba13222ce77538db72accf4fc3a80a64d0071d4a23bf5247624
0030,11,19,44,55,64,13,16,38,57,74,9,28,LIBRE,58,67,6,20,43,60,63,15,17,41,49,62,91cf97922038d91f2a07ed59299cc1d245281b9e81095b4db514075314e7d504
0031,7,22,32,57,68,10,26,38,60,71,4,18,LIBRE,55,72,5,17,42,52,74,8,24,40,49,69,17994bce26c0a80724f7dbb22d92b39ceb472abdf6d6e1084518a9c8eeb75024
0032,2,27,39,46,61,1,29,45,55,65,15,25,LIBRE,57,70,7,19,41,58,64,11,26,37,60,74,96830dc0f0545d0d8a1f16709a2822d0e0e83f719914abce8815bd642ad54df3
0033,6,19,41,52,74,3,25,39,48,71,8,20,LIBRE,59,65,1,26,37,46,72,15,18,34,60,62,04943041feb169a24572cdd4fe7188d72a32a4b449c2665e5869152483b40316
0034,6,19,31,46,61,8,27,39,59,75,3,20,LIBRE,52,70,15,26,38,50,66,5,30,42,60,71,4a92faad4a9a9475faa2851f463ea1206ace58dd555bbeaac6b68b6d372f7387
0035,3,24,45,47,69,5,23,39,53,68,1,17,LIBRE,59,64,7,21,33,56,71,9,28,34,50,73,f9b10b47074745253cc5f80ae87340475a764e64d66ccfc76794169383bfd13b
0036,8,26,35,49,72,4,23,41,55,74,14,16,LIBRE,58,64,2,24,36,48,62,12,25,45,47,65,83048fb32e4875e99dfc884f906cb8e886b52a65eced070debceae8328370a08
0037,5,19,42,54,65,8,30,34,49,66,7,21,LIBRE,52,72,6,22,32,55,71,4,29,35,56,74,ff98b400c1547d6cf6520dfc9f0e525d9d73aceea07d7b8ac29470664f7467d7
0038,7,18,31,57,64,13,24,37,60,75,9,29,LIBRE,59,73,8,23,39,58,71,10,17,45,56,68,2808fafa958823f9049eb83b8727925ec98ab827780e20d39611045a323cd6b4
0039,14,29,32,59,69,11,30,35,56,63,4,25,LIBRE,52,70,7,23,44,53,64,6,27,45,55,74,13e00f268ec9aec3acb2cdfd0746ee19485796abf7b930a8ace6b3a68966f8f8
0040,10,25,32,48,75,14,27,34,49,71,6,21,LIBRE,52,63,4,18,35,50,70,5,29,36,59,65,65ded9df08a0952bf740e76e0f2ab8dfa00c56b289b97270c753857865f219cf
0041,3,20,35,55,65,10,28,42,57,61,15,18,LIBRE,46,71,1,22,33,60,63,7,23,37,59,73,d986686f881a5e9c174fe9896925ede8bcac2ab8a5bb9da3100872112b45ccf0
0042,14,30,40,47,65,15,22,34,57,67,3,28,LIBRE,59,71,11,23,38,48,64,7,18,41,60,69,178070003937cb5f1bad612c7d46e6e38a01141be58f46fb86568c72371a8c5c
0043,11,16,37,58,63,2,22,44,47,67,13,20,LIBRE,50,75,8,30,31,59,74,12,18,34,60,72,699a78a7597e52b8256931a1bd81e26cae376317e439434c1685e50cba64690d
0044,2,16,42,47,64,14,28,38,59,74,10,24,LIBRE,54,62,12,25,43,57,68,11,27,45,52,67,037ca89a4f50e79f653ea32737841b839b2d1e25feb7e3b240da85eb0f86b5af
0045,7,22,40,48,64,6,30,44,57,63,10,21,LIBRE,58,65,2,27,38,54,72,3,26,31,53,68,0db5fedf669a4b1e660f707209e0796ddcf61e53e04c79fc7b6587834beec23d
0046,12,19,38,51,66,7,28,32,60,73,14,27,LIBRE,47,64,1,22,44,49,67,15,25,37,50,68,4b619c199a65e82484244b6a6e2860b62577287cbb468092630aad46a1a780fd
0047,11,22,43,51,61,14,23,41,53,64,8,30,LIBRE,58,70,13,21,39,55,67,5,29,35,60,63,63b7d781868742b135bb23f38139249862a929285e05bf550925d3b5d535fb18
0048,1,27,35,51,74,9,19,31,46,70,3,26,LIBRE,57,65,5,20,40,53,62,7,30,38,47,75,973a1b2cef4013b324768599d613462010e81407461c058d1e3f5a6d707f7dd0
0049,12,30,35,49,62,5,21,34,58,69,2,19,LIBRE,60,64,10,18,45,57,72,6,22,38,59,70,6ce9b1e3d97dd7b0bf76efc5ee55dbea13401cd4bbcfc348a9c5b6ccc4337a94
0050,8,27,42,56,66,2,28,36,57,67,1,19,LIBRE,55,69,12,18,34,49,68,7,21,39,60,74,32a08fffb58a4e239315b2920237b3c6fb55a8d92546b0dfb62a72c38c2b0128
0051,2,22,32,46,65,1,30,34,49,70,5,18,LIBRE,50,61,4,21,33,53,71,7,17,43,55,66,448b18ec79bcabaaa3cd1f66b74f43be8e133862436504c88cc54dbd6a0a6e46
0052,15,28,36,55,62,11,25,38,50,70,5,27,LIBRE,51,65,7,26,37,46,75,1,17,40,54,74,3436838164e33031b03351e7615695f3a69d77c9cbaf5faea8d7ba83deec173a
0053,14,26,31,55,65,6,23,36,49,64,9,24,LIBRE,51,66,4,25,40,59,69,1,27,32,53,74,b556daf02f737af9ac97c652ea76bd6dac20f59d9e46d53b6368eb1d1defc427
0054,8,27,36,51,67,14,25,43,54,61,15,16,LIBRE,56,65,10,28,41,60,64,7,30,34,48,75,9f06a43c7b7daff096b36ff35b2cf41bb4da5290e20f342f099fc0bc8aed5b89
0055,10,17,36,53,63,2,22,39,57,64,11,27,LIBRE,54,66,14,25,33,51,69,7,26,43,59,67,92b2b81db10f255d315bceff886ae45626d3f60d1e585c7b8baf88b63d37c6f8
0056,4,30,35,49,71,12,22,34,60,73,8,24,LIBRE,46,72,3,25,36,48,68,2,29,44,53,66,c20f4193ecb1720ecc56cbfc1cee51c5047627d0b43b3df3fe5a8a9d8cb83d6e
0057,13,16,34,58,71,15,24,44,47,75,7,23,LIBRE,57,72,4,29,40,48,67,8,30,31,46,65,f1b69265c527ccde5570b253dd8ff430fd7bc41a6a3b6233bd8419997ad52656
0058,1,20,31,60,70,11,30,44,53,64,13,29,LIBRE,56,68,7,18,33,52,69,12,26,42,55,65,d387fdf1428c365c0c6babdfa2deb81a25724a76cf3e4e098b0b5ede5f19802b
0059,7,21,32,60,68,6,17,42,51,75,2,16,LIBRE,48,61,5,24,36,56,69,9,18,38,46,71,654b76c7a4aff98257aeb26c80e4da6d32818ce44f89a776ef777cab7fc15040
0060,11,29,32,53,68,3,30,42,48,75,7,19,LIBRE,57,63,10,25,41,59,70,2,21,34,52,61,f6257cc9fe08a294230eb544cfb3800fa2387e3299a6624038b50af343c5d82d
0061,7,28,34,58,65,5,18,35,56,75,1,27,LIBRE,47,68,8,26,36,54,63,6,24,39,50,67,deace516feb13c59302864d58658fff0c8b79f608c92e455362b46b54ccc4466
0062,8,28,39,50,74,10,26,32,54,70,1,20,LIBRE,53,69,3,17,37,48,61,4,18,38,56,65,29fb256cf6bb07abb962460c0c826328330b2c237fc52d13cfb5b0d07c59f263
0063,13,28,37,47,73,6,29,45,55,74,14,16,LIBRE,60,68,11,18,42,58,75,2,21,39,51,69,bee8128c693d6138579e714705d96bfeb317bfe89e02acfb19f517b37df45f7c
0064,15,20,36,52,62,12,19,31,57,64,1,28,LIBRE,48,69,8,22,33,56,75,2,17,37,59,67,4c4dd9ffbc342195e2e09c92d27b023f919a61f1ce3d15695d80a607b332574d
0065,11,25,34,47,70,15,21,43,58,67,14,16,LIBRE,52,75,13,20,37,48,64,8,29,42,59,68,2c6ba9c3f00d926503ce655c9cbcc214674f2b9fb51966a942f2676a20d472e6
0066,12,27,31,57,70,7,25,40,54,63,13,21,LIBRE,55,65,10,16,37,50,64,5,22,42,60,71,0238d8ce3066f425120e63d60380fdd2cfa113a33e634cfcbc6ece62a2361088
0067,10,20,34,56,72,1,19,41,48,65,5,16,LIBRE,46,74,4,29,40,59,66,6,30,45,57,67,a4fc783c4449a8b46c9d7183ae96fab48de905312d3983d13fa1a98de6d3be86
0068,14,29,43,51,61,10,25,38,48,69,3,18,LIBRE,58,67,8,24,33,50,64,5,23,37,60,74,8ef9eb04ce325bd3e81f85b64859bb5e7429707eae3ffb2cf2853d640064ec2e
0069,14,20,38,58,65,13,21,34,46,74,7,24,LIBRE,59,66,15,19,32,56,63,2,26,45,60,73,aad0b94890df371e3c877d0b9c60872ed41770a2fdc3d095766933ce2e9bc5d2
